Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000024,Male,Yes,1,Graduate,,21299,1417,134.0,360.0,1.0,Urban,Y
LP000025,Male,No,1,Not Graduate,No,18904,2950,98.0,240.0,1.0,Rural,Y
LP000026,,Yes,0,Graduate,No,8836,264,92.0,180.0,1.0,Rural,N
LP000027,Male,No,0,Graduate,,30146,17165,109.0,,1.0,Urban,Y
LP000028,Male,No,0,Not Graduate,No,3946,685,176.0,180.0,1.0,Semiurban,Y
LP000029,Male,Yes,0,Graduate,No,10179,1547,123.0,360.0,1.0,Semiurban,Y
LP000030,Male,Yes,0,Graduate,No,7431,856,138.0,360.0,1.0,Rural,Y
LP000031,Female,Yes,2,Graduate,No,4688,1208,173.0,480.0,1.0,Semiurban,Y
LP000032,Male,No,0,Graduate,No,26645,577,186.0,360.0,,Semiurban,Y
LP000033,Male,No,2,Not Graduate,Yes,17551,1403,53.0,300.0,0.0,Urban,Y
LP000034,,No,0,Graduate,No,25431,2199,63.0,360.0,1.0,Semiurban,Y
LP000035,Female,,0,Not Graduate,No,10693,61,130.0,240.0,1.0,Urban,N
LP000036,Female,,2,Graduate,No,29379,739,94.0,300.0,1.0,Rural,Y
LP000037,Male,No,1,Not Graduate,No,14210,706,192.0,480.0,1.0,Semiurban,Y
LP000038,Male,Yes,0,Graduate,No,9157,17770,126.0,360.0,1.0,Urban,Y
LP000039,Female,Yes,2,Graduate,No,8013,3078,239.0,180.0,1.0,Rural,N
LP000040,Male,Yes,0,Graduate,No,2734,6634,125.0,360.0,1.0,Semiurban,N
LP000041,Male,No,0,Graduate,No,33911,2142,165.0,180.0,1.0,Rural,Y
LP000042,Male,Yes,2,Graduate,No,30968,1210,116.0,300.0,1.0,Rural,Y
LP000043,Male,Yes,2,Graduate,No,138953,1697,174.0,360.0,1.0,Rural,Y
LP000044,Female,Yes,0,Graduate,No,10222,4219,175.0,,1.0,Rural,Y
LP000045,Male,No,0,Graduate,,7836,8956,194.0,240.0,1.0,Urban,Y
LP000046,Female,Yes,2,Graduate,No,3424,1575,143.0,,1.0,Urban,Y
LP000047,Male,Yes,0,Graduate,No,28795,519,213.0,360.0,1.0,Rural,Y
LP000048,Male,Yes,0,Not Graduate,No,23953,3325,164.0,180.0,1.0,Semiurban,Y
LP000049,Male,No,1,Graduate,No,46231,393,117.0,360.0,1.0,Rural,Y
LP000050,Male,No,3+,Not Graduate,No,6416,1751,118.0,240.0,1.0,Semiurban,N
LP000051,Female,No,0,Graduate,No,23696,2483,186.0,360.0,1.0,Rural,Y
LP000052,Female,Yes,2,Not Graduate,Yes,8798,963,213.0,240.0,1.0,Urban,N
LP000053,Female,No,1,Graduate,No,39142,370,93.0,360.0,1.0,Urban,Y
LP000054,Female,Yes,1,Not Graduate,Yes,20516,635,187.0,360.0,1.0,Rural,Y
LP000055,Male,Yes,2,Graduate,No,3848,750,75.0,120.0,1.0,Semiurban,Y
LP000056,Female,Yes,3+,Graduate,No,12028,309,119.0,480.0,1.0,Urban,N
LP000057,Male,Yes,0,Not Graduate,No,2811,689,174.0,360.0,1.0,Rural,Y
LP000058,Male,No,0,Graduate,Yes,5267,192,,,1.0,Rural,Y
LP000059,Male,Yes,3+,Graduate,No,5528,2229,,240.0,1.0,Semiurban,N
LP000060,Male,Yes,1,Not Graduate,No,8000,1635,180.0,300.0,1.0,Semiurban,Y
LP000061,Male,Yes,1,Graduate,No,10827,1508,90.0,,1.0,Rural,N
LP000062,Male,Yes,1,Graduate,No,15239,690,182.0,240.0,1.0,Urban,Y
LP000063,Female,Yes,2,Graduate,Yes,14641,810,83.0,360.0,1.0,Semiurban,N
LP000064,Male,Yes,2,Graduate,No,13107,405,150.0,180.0,,Rural,N
LP000065,Male,Yes,,Not Graduate,No,17429,2010,193.0,300.0,1.0,Semiurban,Y
LP000066,Male,Yes,1,Graduate,No,4915,214,185.0,360.0,1.0,Semiurban,Y
LP000067,Male,Yes,0,Graduate,No,14165,1212,145.0,360.0,1.0,Rural,Y
LP000068,Female,No,1,Graduate,No,42090,512,132.0,360.0,,Urban,Y
LP000069,Male,Yes,1,Graduate,No,11700,9034,92.0,240.0,1.0,Semiurban,Y
LP000070,Female,No,1,Not Graduate,No,19845,2063,159.0,240.0,1.0,Urban,Y
LP000071,Female,No,1,Graduate,No,18421,1096,190.0,300.0,1.0,Urban,Y
LP000072,Male,No,0,Graduate,No,26630,290,253.0,300.0,1.0,Rural,Y
LP000073,Male,Yes,1,Graduate,No,16809,213,127.0,360.0,1.0,Rural,Y
LP000074,Female,Yes,1,Not Graduate,No,26272,1988,192.0,120.0,1.0,Urban,Y
LP000075,Female,No,,Graduate,No,20046,9495,188.0,360.0,1.0,Semiurban,Y
LP000076,Female,Yes,1,Graduate,No,22602,1791,126.0,240.0,1.0,Urban,Y
LP000077,Female,Yes,0,Graduate,No,19028,1353,186.0,360.0,1.0,Urban,Y
LP000078,Male,Yes,1,Graduate,No,5970,1377,109.0,300.0,0.0,Urban,Y
LP000079,Male,Yes,,Graduate,Yes,5236,1240,162.0,,1.0,Urban,Y
LP000080,Male,No,,Graduate,No,10071,1399,139.0,300.0,1.0,Semiurban,N
LP000081,Female,Yes,1,Not Graduate,No,46226,481,172.0,300.0,0.0,Rural,N
LP000082,Female,Yes,1,Not Graduate,No,11645,340,176.0,360.0,1.0,Semiurban,N
LP000083,Male,Yes,0,Not Graduate,No,17113,1250,123.0,360.0,1.0,Rural,Y
LP000084,Male,Yes,2,Graduate,No,2768,6582,149.0,180.0,1.0,Urban,Y
LP000085,Male,Yes,0,Graduate,No,15599,2786,143.0,300.0,1.0,Semiurban,Y
LP000086,Male,Yes,1,Graduate,No,14310,249,95.0,360.0,1.0,Rural,Y
LP000087,Female,No,,Graduate,,1573,807,131.0,360.0,1.0,Urban,N
LP000088,Female,Yes,0,Graduate,Yes,16860,2630,121.0,360.0,1.0,Rural,Y
LP000089,Female,,1,Not Graduate,No,3566,6769,93.0,360.0,1.0,Urban,N
LP000090,Male,Yes,1,Graduate,No,7478,9410,109.0,180.0,1.0,Rural,Y
LP000091,Male,Yes,2,Not Graduate,No,29601,851,137.0,360.0,0.0,Rural,Y
LP000092,Female,Yes,2,Graduate,No,15153,2948,152.0,240.0,1.0,Semiurban,Y
LP000093,Female,Yes,2,Graduate,No,9332,1479,87.0,300.0,1.0,Rural,N
LP000094,Male,No,1,Graduate,No,8714,949,210.0,360.0,1.0,Semiurban,Y
LP000095,Female,No,1,Not Graduate,Yes,9562,1181,180.0,240.0,1.0,Urban,Y
LP000096,Male,,1,Not Graduate,No,15194,1199,145.0,300.0,1.0,Urban,Y
LP000097,Male,Yes,1,Graduate,No,5112,4492,89.0,480.0,1.0,Semiurban,N
LP000098,Male,No,1,Graduate,Yes,32844,203,139.0,180.0,,Semiurban,Y
LP000099,Male,Yes,3+,Not Graduate,No,5334,1923,136.0,180.0,1.0,Rural,Y
LP000100,Male,Yes,0,Graduate,No,3355,6955,95.0,360.0,1.0,Semiurban,N
LP000101,Male,No,3+,Graduate,No,29522,6112,91.0,300.0,0.0,Semiurban,N
LP000102,Female,Yes,0,Graduate,No,9418,2170,188.0,360.0,0.0,Semiurban,Y
LP000103,Male,No,0,Graduate,No,14134,442,133.0,300.0,1.0,Urban,Y
LP000104,,Yes,0,Graduate,No,22554,2785,194.0,240.0,1.0,Urban,Y
LP000105,Female,No,1,Not Graduate,No,7513,5377,149.0,240.0,1.0,Semiurban,Y
LP000106,Male,,0,Graduate,No,14908,591,187.0,240.0,1.0,Semiurban,Y
LP000107,Male,Yes,2,Graduate,No,22439,1684,185.0,240.0,,Semiurban,Y
LP000108,Female,Yes,2,Graduate,No,49741,857,173.0,240.0,1.0,Rural,Y
LP000109,Male,Yes,1,Graduate,No,8876,524,209.0,360.0,1.0,Rural,Y
LP000110,Male,Yes,1,Graduate,No,9224,751,155.0,360.0,0.0,Urban,Y
LP000111,Male,Yes,3+,Graduate,No,20966,1279,75.0,240.0,1.0,Rural,Y
LP000112,Male,Yes,2,Graduate,Yes,15785,364,83.0,300.0,0.0,Rural,Y
LP000113,Female,No,1,Graduate,No,11972,299,117.0,480.0,1.0,Urban,Y
LP000114,Female,Yes,2,Graduate,No,47769,377,187.0,240.0,1.0,Rural,Y
LP000115,Female,Yes,1,Graduate,No,3477,1625,129.0,360.0,0.0,Urban,Y
LP000116,Female,Yes,1,Graduate,No,4283,188,160.0,360.0,0.0,Semiurban,N
LP000117,Female,Yes,0,Graduate,No,3509,76,176.0,360.0,0.0,Semiurban,N
LP000118,Male,Yes,1,Graduate,No,34938,5693,158.0,,1.0,Semiurban,Y
LP000119,Female,Yes,0,Graduate,Yes,20166,325,35.0,300.0,0.0,Rural,N
LP000120,Male,No,0,Graduate,No,4462,868,,300.0,1.0,Semiurban,Y
LP000121,Female,Yes,1,Graduate,No,12107,3316,238.0,360.0,1.0,Urban,Y
LP000122,Female,Yes,3+,Graduate,Yes,13067,195,166.0,360.0,0.0,Semiurban,N
LP000123,Male,No,3+,Graduate,No,2281,194,15.0,360.0,1.0,Urban,Y
LP000124,Male,No,1,Graduate,No,15531,513,153.0,360.0,0.0,Rural,Y
LP000125,Male,Yes,,Not Graduate,No,5208,3475,240.0,360.0,0.0,Urban,Y
LP000126,Male,No,0,Not Graduate,No,23513,1068,163.0,300.0,1.0,Urban,Y
LP000127,Female,Yes,1,Not Graduate,Yes,5337,1086,152.0,360.0,1.0,Urban,Y
LP000128,Female,No,0,Graduate,No,15919,769,58.0,,0.0,Rural,N
LP000129,Male,Yes,0,Not Graduate,No,37633,2152,136.0,180.0,1.0,Rural,Y
LP000130,Male,Yes,1,Graduate,No,29133,6113,67.0,360.0,1.0,Urban,Y
LP000131,Male,No,0,Graduate,No,20044,39372,88.0,360.0,1.0,Semiurban,Y
LP000132,Male,Yes,0,Graduate,No,12518,918,77.0,180.0,1.0,Semiurban,Y
LP000133,Male,Yes,2,Not Graduate,No,4023,6844,236.0,180.0,1.0,Rural,Y
LP000134,Male,Yes,0,Graduate,No,9402,3637,186.0,240.0,1.0,Urban,Y
LP000135,Female,Yes,0,Not Graduate,No,11150,1510,220.0,360.0,0.0,Urban,N
LP000136,Male,Yes,0,Graduate,No,10527,77,83.0,180.0,1.0,Urban,N
LP000137,Male,Yes,0,Not Graduate,No,3917,696,159.0,300.0,1.0,Semiurban,N
LP000138,Female,Yes,0,Not Graduate,,18911,730,99.0,240.0,1.0,Semiurban,Y
LP000139,Male,Yes,2,Not Graduate,Yes,5194,1686,104.0,240.0,1.0,Rural,Y
LP000140,Female,Yes,0,Graduate,No,46022,865,173.0,360.0,1.0,Semiurban,Y
LP000141,Female,Yes,2,Not Graduate,No,15039,557,158.0,360.0,1.0,Urban,Y
LP000142,Male,Yes,0,Not Graduate,No,29243,12531,164.0,,1.0,Urban,Y
LP000143,Male,No,1,Graduate,No,28763,5270,87.0,360.0,1.0,Urban,Y
LP000144,Male,Yes,1,Graduate,Yes,70427,96,156.0,360.0,1.0,Rural,Y
LP000145,Male,Yes,1,Graduate,No,15452,782,167.0,240.0,1.0,Urban,Y
LP000146,Male,No,1,Graduate,No,9778,2338,116.0,360.0,1.0,Urban,Y
LP000147,Female,No,3+,Not Graduate,No,9930,5415,136.0,360.0,1.0,Urban,N
LP000148,Male,Yes,0,Graduate,No,44217,662,67.0,360.0,1.0,Semiurban,Y
LP000149,Male,No,1,Graduate,No,4646,846,42.0,360.0,0.0,Urban,Y
LP000150,Male,Yes,2,Graduate,No,6617,1228,250.0,360.0,1.0,Semiurban,Y
LP000151,Female,No,0,Graduate,No,16148,2426,160.0,240.0,1.0,Rural,Y
LP000152,Male,Yes,0,Graduate,Yes,11822,173,,360.0,1.0,Urban,Y
LP000153,Male,Yes,0,Not Graduate,No,28972,97,189.0,360.0,1.0,Urban,Y
LP000154,Male,Yes,1,Graduate,No,4578,4941,,360.0,1.0,Semiurban,Y
LP000155,Female,No,0,Not Graduate,No,12663,334,155.0,,1.0,Urban,Y
LP000156,Male,,0,Not Graduate,No,11503,14005,205.0,180.0,0.0,Semiurban,Y
LP000157,Female,Yes,1,Graduate,,5665,389,94.0,360.0,1.0,Rural,Y
LP000158,Female,Yes,1,Graduate,No,26982,878,125.0,300.0,0.0,Semiurban,N
LP000159,Male,No,0,Graduate,No,12413,1706,80.0,240.0,1.0,Urban,Y
LP000160,Female,No,0,Graduate,No,12000,84,191.0,180.0,1.0,Rural,Y
LP000161,,Yes,1,Graduate,No,6906,34107,160.0,240.0,0.0,Semiurban,Y
LP000162,Female,Yes,3+,Graduate,No,9937,682,208.0,240.0,1.0,Rural,Y
LP000163,Female,Yes,1,Not Graduate,No,5899,400,192.0,480.0,1.0,Rural,N
LP000164,Male,Yes,2,Graduate,No,26662,270,136.0,360.0,1.0,Semiurban,Y
LP000165,Male,No,0,Graduate,No,30523,1692,170.0,180.0,1.0,Semiurban,Y
LP000166,Female,Yes,,Not Graduate,No,51228,1554,171.0,360.0,1.0,Urban,Y
LP000167,Male,Yes,1,Not Graduate,No,18906,281,186.0,360.0,1.0,Urban,Y
LP000168,Male,Yes,2,Not Graduate,No,10184,211,223.0,240.0,1.0,Semiurban,Y
LP000169,Male,Yes,1,Not Graduate,No,9180,3890,95.0,360.0,,Semiurban,Y
LP000170,Male,Yes,2,Graduate,Yes,19781,499,56.0,120.0,1.0,Semiurban,Y
LP000171,Female,Yes,3+,Not Graduate,Yes,15688,139,97.0,360.0,1.0,Rural,N
LP000172,Male,,0,Not Graduate,No,11621,918,173.0,360.0,,Urban,N
LP000173,Male,Yes,0,Graduate,Yes,10832,677,170.0,360.0,1.0,Urban,Y
LP000174,Male,Yes,0,Graduate,No,34096,11384,121.0,360.0,1.0,Urban,Y
LP000175,Female,Yes,0,Graduate,No,9457,586,,480.0,0.0,Semiurban,N
LP000176,Male,Yes,0,Graduate,No,39235,757,108.0,360.0,,Urban,Y
LP000177,Female,No,2,Graduate,No,15455,1427,144.0,360.0,1.0,Rural,Y
LP000178,,Yes,0,Graduate,No,9953,552,115.0,120.0,0.0,Semiurban,N
LP000179,Female,Yes,0,Graduate,No,7127,1861,231.0,240.0,1.0,Rural,Y
LP000180,Male,No,0,Graduate,No,11806,323,216.0,360.0,1.0,Semiurban,Y
LP000181,Male,Yes,3+,Graduate,No,19984,822,186.0,480.0,1.0,Urban,Y
LP000182,Male,Yes,1,Not Graduate,No,9881,1786,151.0,360.0,1.0,Urban,N
LP000183,Female,Yes,3+,Graduate,Yes,26377,4294,206.0,360.0,0.0,Urban,Y
LP000184,Female,Yes,3+,Graduate,No,9494,542,154.0,240.0,0.0,Semiurban,Y
LP000185,Male,Yes,1,Graduate,No,12090,534,158.0,480.0,1.0,Rural,Y
LP000186,Female,Yes,0,Graduate,,4772,6970,63.0,360.0,1.0,Rural,N
LP000187,Female,No,0,Graduate,No,20901,565,163.0,300.0,1.0,Urban,Y
LP000188,,No,0,Graduate,No,10788,1024,85.0,360.0,1.0,Urban,Y
LP000189,Male,Yes,2,Not Graduate,No,47244,8563,129.0,480.0,1.0,Rural,Y
LP000190,Male,Yes,0,Graduate,No,23478,1189,158.0,300.0,1.0,Semiurban,Y
LP000191,Male,Yes,,Graduate,No,14294,814,105.0,360.0,1.0,Urban,Y
LP000192,Female,Yes,,Graduate,No,35601,890,173.0,180.0,1.0,Rural,Y
LP000193,Female,Yes,1,Graduate,No,18473,450,202.0,480.0,0.0,Semiurban,Y
LP000194,Female,No,1,Not Graduate,No,29929,1883,105.0,180.0,1.0,Rural,Y
LP000195,Male,Yes,0,Graduate,,6701,361,155.0,480.0,1.0,Rural,N
LP000196,Male,No,2,Not Graduate,No,19321,2791,87.0,240.0,0.0,Semiurban,Y
LP000197,Female,No,,Graduate,Yes,19973,1116,91.0,480.0,1.0,Semiurban,Y
LP000198,Female,No,0,Graduate,No,3882,1454,165.0,300.0,1.0,Semiurban,Y
LP000199,Female,Yes,2,Not Graduate,,44591,8739,185.0,360.0,1.0,Urban,Y
LP000200,Female,Yes,3+,Not Graduate,Yes,5280,192,74.0,120.0,1.0,Rural,Y
LP000201,Female,Yes,0,Not Graduate,No,4725,1129,252.0,300.0,1.0,Rural,N
LP000202,Male,Yes,0,Graduate,No,1367,2358,,300.0,1.0,Urban,Y
LP000203,Male,Yes,1,Not Graduate,No,19517,523,160.0,120.0,1.0,Rural,Y
LP000204,Female,Yes,0,Graduate,No,3588,3433,123.0,,0.0,Rural,N
LP000205,Female,Yes,2,Not Graduate,No,8834,570,135.0,360.0,1.0,Urban,Y
LP000206,Male,Yes,,Graduate,Yes,26115,1556,225.0,120.0,1.0,Urban,Y
LP000207,Male,No,2,Graduate,Yes,15578,945,225.0,300.0,1.0,Semiurban,Y
LP000208,Female,Yes,1,Not Graduate,No,8111,1331,67.0,120.0,1.0,Urban,Y
LP000209,Male,Yes,1,Graduate,No,3742,1198,121.0,360.0,1.0,Rural,N
LP000210,Male,Yes,0,Graduate,No,12257,1055,297.0,240.0,1.0,Urban,Y
LP000211,Male,No,0,Not Graduate,No,26481,621,128.0,180.0,1.0,Urban,Y
LP000212,Female,Yes,0,Graduate,No,23404,493,171.0,360.0,1.0,Semiurban,Y
LP000213,Female,Yes,0,Graduate,No,55794,1602,206.0,300.0,1.0,Rural,Y
LP000214,Male,Yes,0,Graduate,No,7920,1168,192.0,180.0,1.0,Urban,Y
LP000215,Female,No,2,Graduate,No,4658,477,9.0,360.0,1.0,Urban,Y
LP000216,Male,No,0,Graduate,No,17119,1655,166.0,360.0,1.0,Urban,Y
LP000217,Male,Yes,2,Graduate,No,15821,629,237.0,360.0,1.0,Semiurban,Y
LP000218,Female,Yes,1,Graduate,No,13307,7090,151.0,300.0,1.0,Semiurban,Y
LP000219,Female,Yes,2,Graduate,No,7353,21742,97.0,300.0,1.0,Semiurban,Y
LP000220,Female,Yes,3+,Graduate,No,1599,5807,98.0,480.0,1.0,Rural,Y
LP000221,Female,Yes,0,Graduate,Yes,5971,5431,140.0,360.0,1.0,Urban,Y
LP000222,Male,No,2,Graduate,No,20861,2913,183.0,300.0,1.0,Semiurban,Y
LP000223,Male,No,1,Not Graduate,No,16767,852,294.0,360.0,,Semiurban,Y
LP000224,Male,Yes,2,Graduate,No,28917,112,135.0,180.0,1.0,Rural,Y
LP000225,Male,Yes,1,Graduate,No,17608,320,178.0,240.0,1.0,Semiurban,Y
LP000226,Male,Yes,1,Graduate,Yes,24072,486,72.0,240.0,1.0,Urban,Y
LP000227,Female,No,0,Not Graduate,No,24631,4671,65.0,,1.0,Rural,Y
LP000228,Male,No,0,Graduate,Yes,13580,1491,125.0,360.0,1.0,Rural,Y
LP000229,Female,Yes,1,Not Graduate,No,13656,496,172.0,360.0,1.0,Urban,Y
LP000230,Female,Yes,3+,Graduate,Yes,1303,119,145.0,300.0,1.0,Rural,N
LP000231,,Yes,2,Graduate,No,7900,17708,152.0,240.0,1.0,Rural,Y
LP000232,Male,Yes,0,Graduate,Yes,8178,2079,136.0,240.0,1.0,Semiurban,Y
LP000233,Male,No,2,Not Graduate,Yes,12246,3262,,360.0,1.0,Semiurban,Y
LP000234,Male,Yes,2,Graduate,No,6346,576,135.0,180.0,1.0,Urban,Y
LP000235,Male,No,0,Graduate,No,28283,928,82.0,360.0,1.0,Urban,Y
LP000236,Female,Yes,,Graduate,No,6599,725,75.0,240.0,,Urban,Y
LP000237,Male,No,0,Graduate,No,32271,1184,217.0,240.0,1.0,Urban,Y
LP000238,Male,Yes,2,Graduate,No,6192,10046,108.0,,,Semiurban,Y
LP000239,Female,No,2,Graduate,No,8241,258,137.0,480.0,1.0,Urban,Y
LP000240,Male,Yes,0,Graduate,No,7755,1043,209.0,180.0,1.0,Urban,Y
LP000241,Female,Yes,0,Not Graduate,No,8982,1690,136.0,,0.0,Urban,Y
LP000242,Female,Yes,2,Graduate,Yes,34300,953,193.0,300.0,1.0,Semiurban,Y
LP000243,Female,Yes,3+,Not Graduate,Yes,10283,3620,,300.0,1.0,Urban,N
LP000244,Male,Yes,2,Not Graduate,No,10495,136,227.0,480.0,1.0,Urban,Y
LP000245,Male,Yes,1,Not Graduate,No,7380,10514,161.0,240.0,,Rural,N
LP000246,Female,No,0,Not Graduate,No,10852,211,148.0,360.0,1.0,Urban,Y
LP000247,Male,Yes,1,Not Graduate,No,15885,282,,360.0,0.0,Semiurban,Y
LP000248,Female,No,0,Graduate,No,11247,639,188.0,360.0,0.0,Rural,N
LP000249,Female,No,2,Graduate,No,11846,504,161.0,240.0,1.0,Urban,Y
LP000250,Female,Yes,0,Graduate,No,30116,1825,-9.0,240.0,1.0,Semiurban,Y
LP000251,Male,Yes,2,Graduate,No,16629,1588,127.0,240.0,1.0,Semiurban,Y
LP000252,Male,Yes,0,Graduate,No,5320,1256,166.0,300.0,1.0,Rural,N
LP000253,Female,Yes,2,Graduate,No,12478,200,101.0,180.0,1.0,Rural,Y
LP000254,Male,Yes,0,Graduate,No,8684,927,124.0,480.0,,Urban,N
LP000255,,No,1,Not Graduate,No,20268,1122,130.0,300.0,1.0,Urban,Y
LP000256,Male,Yes,1,Graduate,Yes,14506,4811,229.0,360.0,1.0,Semiurban,Y
LP000257,Female,Yes,0,Graduate,No,32999,1393,179.0,360.0,1.0,Rural,Y
LP000258,Female,Yes,3+,Graduate,No,7390,1735,166.0,240.0,1.0,Rural,N
LP000259,Male,No,1,Graduate,,11453,11556,91.0,300.0,1.0,Rural,Y
LP000260,Male,Yes,,Not Graduate,No,5702,272,115.0,180.0,1.0,Urban,N
LP000261,Female,Yes,2,Graduate,,12920,688,192.0,480.0,1.0,Urban,N
LP000262,Female,Yes,2,Graduate,No,3907,280,183.0,300.0,1.0,Rural,N
LP000263,Male,Yes,1,Graduate,No,17277,7538,78.0,120.0,1.0,Urban,Y
LP000264,Male,No,3+,Graduate,No,12779,8182,219.0,360.0,1.0,Semiurban,Y
LP000265,Female,No,0,Graduate,No,15125,6865,106.0,180.0,1.0,Urban,Y
LP000266,Female,Yes,0,Graduate,Yes,25097,2115,167.0,360.0,1.0,Semiurban,Y
LP000267,Female,Yes,1,Graduate,No,15991,1731,,480.0,1.0,Rural,Y
LP000268,Female,Yes,0,Graduate,,4810,632,129.0,480.0,1.0,Semiurban,Y
LP000269,Male,Yes,1,Not Graduate,,8563,2760,158.0,300.0,1.0,Semiurban,Y
LP000270,Male,,0,Graduate,No,12529,235,122.0,360.0,1.0,Rural,Y
LP000271,Female,Yes,1,Graduate,Yes,10275,234,158.0,240.0,1.0,Urban,N
LP000272,Female,Yes,2,Graduate,No,11330,662,221.0,180.0,1.0,Semiurban,Y
LP000273,Female,No,1,Graduate,Yes,48881,10555,140.0,360.0,0.0,Semiurban,Y
LP000274,Female,Yes,3+,Not Graduate,No,14476,592,135.0,360.0,1.0,Urban,Y
LP000275,Male,No,2,Graduate,No,18138,696,205.0,480.0,1.0,Urban,Y
LP000276,,Yes,0,Not Graduate,No,2678,1548,86.0,480.0,1.0,Semiurban,N
LP000277,Female,Yes,0,Graduate,No,24265,3223,154.0,300.0,0.0,Semiurban,N
LP000278,Female,No,0,Not Graduate,No,130818,4926,113.0,300.0,1.0,Rural,Y
LP000279,Female,Yes,2,Graduate,,39203,285,138.0,300.0,1.0,Urban,Y
LP000280,Female,,0,Graduate,Yes,9394,976,105.0,360.0,1.0,Urban,Y
LP000281,Female,Yes,0,Graduate,Yes,82854,1435,78.0,120.0,1.0,Semiurban,Y
LP000282,Male,Yes,,Graduate,No,13656,1619,39.0,360.0,1.0,Semiurban,Y
LP000283,Male,No,,Graduate,No,17072,3099,127.0,120.0,0.0,Semiurban,Y
LP000284,Male,No,0,Graduate,Yes,10786,2933,161.0,300.0,1.0,Semiurban,N
LP000285,Male,Yes,0,Not Graduate,No,10565,1130,190.0,,1.0,Urban,N
LP000286,Male,Yes,2,Graduate,No,2211,4371,83.0,360.0,1.0,Semiurban,Y
LP000287,Male,Yes,2,Graduate,No,25084,3507,,300.0,1.0,Semiurban,Y
LP000288,Male,,,Not Graduate,No,10534,3184,177.0,300.0,1.0,Semiurban,Y
LP000289,Male,Yes,1,Graduate,,11493,581,168.0,480.0,1.0,Semiurban,Y
LP000290,Male,Yes,2,Not Graduate,No,16625,2579,162.0,300.0,1.0,Urban,Y
LP000291,Male,Yes,2,Graduate,,9588,4648,41.0,360.0,1.0,Semiurban,Y
LP000292,Male,Yes,2,Graduate,,16499,591,144.0,360.0,1.0,Rural,Y
LP000293,Female,,1,Graduate,No,34977,1284,145.0,360.0,1.0,Urban,Y
LP000294,Male,Yes,3+,Not Graduate,No,18469,7170,177.0,300.0,1.0,Urban,Y
LP000295,Male,Yes,0,Not Graduate,No,11815,1764,219.0,180.0,1.0,Urban,Y
LP000296,Male,No,0,Not Graduate,Yes,12102,986,137.0,480.0,1.0,Urban,Y
LP000297,Female,No,2,Graduate,No,15685,6335,132.0,300.0,1.0,Rural,Y
LP000298,Male,Yes,1,Not Graduate,No,6865,623,156.0,240.0,1.0,Rural,N
LP000299,Female,Yes,2,Graduate,No,15776,143,151.0,480.0,1.0,Semiurban,Y
LP000300,Male,No,0,Graduate,Yes,23101,430,171.0,240.0,1.0,Rural,Y
LP000301,Male,No,2,Not Graduate,No,14328,4286,176.0,360.0,1.0,Urban,Y
LP000302,Male,No,0,Graduate,No,9515,2048,141.0,360.0,1.0,Semiurban,Y
