movie_id,title,clean_title,year,genres
114,Wallace & Gromit: The Best of Aardman Animation (1996),Wallace & Gromit: The Best of Aardman Animation,1996,Animation
115,"Haunted World of Edward D. Wood Jr., The (1995)","Haunted World of Edward D. Wood Jr., The",1995,Documentary
116,Cold Comfort Farm (1995),Cold Comfort Farm,1995,Comedy
117,"Rock, The (1996)","Rock, The",1996,Action|Adventure|Thriller
118,Twister (1996),Twister,1996,Action|Adventure|Thriller
119,Maya Lin: A Strong Clear Vision (1994),Maya Lin: A Strong Clear Vision,1994,Documentary
120,Striptease (1996),Striptease,1996,Comedy|Crime
121,Independence Day (ID4) (1996),Independence Day (ID4),1996,Action|Sci-Fi|War
122,"Cable Guy, The (1996)","Cable Guy, The",1996,Comedy
123,"Frighteners, The (1996)","Frighteners, The",1996,Comedy|Horror
124,Lone Star (1996),Lone Star,1996,Drama|Mystery
125,Phenomenon (1996),Phenomenon,1996,Drama|Romance
126,"Spitfire Grill, The (1996)","Spitfire Grill, The",1996,Drama
127,"Godfather, The (1972)","Godfather, The",1972,Action|Crime|Drama
128,Supercop (1992),Supercop,1992,Action|Thriller
129,Bound (1996),Bound,1996,Crime|Drama|Romance|Thriller
130,Kansas City (1996),Kansas City,1996,Crime
131,Breakfast at Tiffany's (1961),Breakfast at Tiffany's,1961,Drama|Romance
132,"Wizard of Oz, The (1939)","Wizard of Oz, The",1939,Adventure|Children|Drama|Musical
133,Gone with the Wind (1939),Gone with the Wind,1939,Drama|Romance|War
134,Citizen Kane (1941),Citizen Kane,1941,Drama
135,2001: A Space Odyssey (1968),2001: A Space Odyssey,1968,Drama|Mystery|Sci-Fi|Thriller
136,Mr. Smith Goes to Washington (1939),Mr. Smith Goes to Washington,1939,Drama
137,Big Night (1996),Big Night,1996,Drama
138,D3: The Mighty Ducks (1996),D3: The Mighty Ducks,1996,Children|Comedy
139,"Love Bug, The (1969)","Love Bug, The",1969,Children|Comedy
140,Homeward Bound: The Incredible Journey (1993),Homeward Bound: The Incredible Journey,1993,Adventure|Children
141,"20,000 Leagues Under the Sea (1954)","20,000 Leagues Under the Sea",1954,Adventure|Children|Fantasy|Sci-Fi
142,Bedknobs and Broomsticks (1971),Bedknobs and Broomsticks,1971,Adventure|Children|Musical
143,"Sound of Music, The (1965)","Sound of Music, The",1965,Musical
144,Die Hard (1988),Die Hard,1988,Action|Thriller
145,"Lawnmower Man, The (1992)","Lawnmower Man, The",1992,Action|Sci-Fi|Thriller
146,Unhook the Stars (1996),Unhook the Stars,1996,Drama
147,"Long Kiss Goodnight, The (1996)","Long Kiss Goodnight, The",1996,Action|Thriller
148,"Ghost and the Darkness, The (1996)","Ghost and the Darkness, The",1996,Action|Adventure
149,Jude (1996),Jude,1996,Drama
150,Swingers (1996),Swingers,1996,Comedy|Drama
151,Willy Wonka and the Chocolate Factory (1971),Willy Wonka and the Chocolate Factory,1971,Adventure|Children|Comedy
152,Sleeper (1973),Sleeper,1973,Comedy|Sci-Fi
153,"Fish Called Wanda, A (1988)","Fish Called Wanda, A",1988,Comedy
154,Monty Python's Life of Brian (1979),Monty Python's Life of Brian,1979,Comedy
155,Dirty Dancing (1987),Dirty Dancing,1987,Musical|Romance
156,Reservoir Dogs (1992),Reservoir Dogs,1992,Crime|Thriller
157,Platoon (1986),Platoon,1986,Drama|War
158,Weekend at Bernie's (1989),Weekend at Bernie's,1989,Comedy
159,Basic Instinct (1992),Basic Instinct,1992,Mystery|Thriller
160,Glengarry Glen Ross (1992),Glengarry Glen Ross,1992,Drama
161,Top Gun (1986),Top Gun,1986,Action|Romance
162,On Golden Pond (1981),On Golden Pond,1981,Drama
163,"Return of the Pink Panther, The (1974)","Return of the Pink Panther, The",1974,Comedy
164,"Abyss, The (1989)","Abyss, The",1989,Action|Adventure|Sci-Fi|Thriller
165,Jean de Florette (1986),Jean de Florette,1986,Drama
166,Manon of the Spring (Manon des sources) (1986),Manon of the Spring (Manon des sources),1986,Drama
167,Private Benjamin (1980),Private Benjamin,1980,Comedy
168,Monty Python and the Holy Grail (1974),Monty Python and the Holy Grail,1974,Comedy
169,"Wrong Trousers, The (1993)","Wrong Trousers, The",1993,Animation|Comedy
170,Cinema Paradiso (1988),Cinema Paradiso,1988,Comedy|Drama|Romance
171,Delicatessen (1991),Delicatessen,1991,Comedy|Sci-Fi
172,"Empire Strikes Back, The (1980)","Empire Strikes Back, The",1980,Action|Adventure|Drama|Romance|Sci-Fi|War
173,"Princess Bride, The (1987)","Princess Bride, The",1987,Action|Adventure|Comedy|Romance
174,Raiders of the Lost Ark (1981),Raiders of the Lost Ark,1981,Action|Adventure
175,Brazil (1985),Brazil,1985,Sci-Fi
176,Aliens (1986),Aliens,1986,Action|Sci-Fi|Thriller|War
177,"Good, The Bad and The Ugly, The (1966)","Good, The Bad and The Ugly, The",1966,Action|Western
178,12 Angry Men (1957),12 Angry Men,1957,Drama
179,"Clockwork Orange, A (1971)","Clockwork Orange, A",1971,Sci-Fi
180,Apocalypse Now (1979),Apocalypse Now,1979,Drama|War
181,Return of the Jedi (1983),Return of the Jedi,1983,Action|Adventure|Romance|Sci-Fi|War
182,GoodFellas (1990),GoodFellas,1990,Crime|Drama
183,Alien (1979),Alien,1979,Action|Horror|Sci-Fi|Thriller
184,Army of Darkness (1993),Army of Darkness,1993,Action|Adventure|Comedy|Horror|Sci-Fi
185,Psycho (1960),Psycho,1960,Horror|Romance|Thriller
186,"Blues Brothers, The (1980)","Blues Brothers, The",1980,Action|Comedy|Musical
187,"Godfather: Part II, The (1974)","Godfather: Part II, The",1974,Action|Crime|Drama
188,Full Metal Jacket (1987),Full Metal Jacket,1987,Action|Drama|War
189,"Grand Day Out, A (1992)","Grand Day Out, A",1992,Animation|Comedy
190,Henry V (1989),Henry V,1989,Drama|War
191,Amadeus (1984),Amadeus,1984,Drama|Mystery
192,Raging Bull (1980),Raging Bull,1980,Drama
193,"Right Stuff, The (1983)","Right Stuff, The",1983,Drama
194,"Sting, The (1973)","Sting, The",1973,Comedy|Crime
195,"Terminator, The (1984)","Terminator, The",1984,Action|Sci-Fi|Thriller
196,Dead Poets Society (1989),Dead Poets Society,1989,Drama
197,"Graduate, The (1967)","Graduate, The",1967,Drama|Romance
198,Nikita (La Femme Nikita) (1990),Nikita (La Femme Nikita),1990,Thriller
199,"Bridge on the River Kwai, The (1957)","Bridge on the River Kwai, The",1957,Drama|War
200,"Shining, The (1980)","Shining, The",1980,Horror
201,Evil Dead II (1987),Evil Dead II,1987,Action|Adventure|Comedy|Horror
202,Groundhog Day (1993),Groundhog Day,1993,Comedy|Romance
203,Unforgiven (1992),Unforgiven,1992,Western
204,Back to the Future (1985),Back to the Future,1985,Comedy|Sci-Fi
205,Patton (1970),Patton,1970,Drama|War
206,Akira (1988),Akira,1988,Adventure|Animation|Sci-Fi|Thriller
207,Cyrano de Bergerac (1990),Cyrano de Bergerac,1990,Action|Drama|Romance
208,Young Frankenstein (1974),Young Frankenstein,1974,Comedy|Horror
209,This Is Spinal Tap (1984),This Is Spinal Tap,1984,Comedy|Drama|Musical
210,Indiana Jones and the Last Crusade (1989),Indiana Jones and the Last Crusade,1989,Action|Adventure
211,M*A*S*H (1970),M*A*S*H,1970,Comedy|War
212,"Unbearable Lightness of Being, The (1988)","Unbearable Lightness of Being, The",1988,Drama
213,"Room with a View, A (1986)","Room with a View, A",1986,Drama|Romance
214,Pink Floyd - The Wall (1982),Pink Floyd - The Wall,1982,Drama|Musical|War
215,Field of Dreams (1989),Field of Dreams,1989,Drama
216,When Harry Met Sally... (1989),When Harry Met Sally...,1989,Comedy|Romance
217,Bram Stoker's Dracula (1992),Bram Stoker's Dracula,1992,Horror|Romance
218,Cape Fear (1991),Cape Fear,1991,Thriller
219,"Nightmare on Elm Street, A (1984)","Nightmare on Elm Street, A",1984,Horror
220,"Mirror Has Two Faces, The (1996)","Mirror Has Two Faces, The",1996,Comedy|Romance
221,Breaking the Waves (1996),Breaking the Waves,1996,Drama
222,Star Trek: First Contact (1996),Star Trek: First Contact,1996,Action|Adventure|Sci-Fi
223,Sling Blade (1996),Sling Blade,1996,Drama|Thriller
224,Ridicule (1996),Ridicule,1996,Drama
225,101 Dalmatians (1996),101 Dalmatians,1996,Children|Comedy
226,Die Hard 2 (1990),Die Hard 2,1990,Action|Thriller
227,Star Trek VI: The Undiscovered Country (1991),Star Trek VI: The Undiscovered Country,1991,Action|Adventure|Sci-Fi
228,Star Trek: The Wrath of Khan (1982),Star Trek: The Wrath of Khan,1982,Action|Adventure|Sci-Fi
229,Star Trek III: The Search for Spock (1984),Star Trek III: The Search for Spock,1984,Action|Adventure|Sci-Fi
230,Star Trek IV: The Voyage Home (1986),Star Trek IV: The Voyage Home,1986,Action|Adventure|Sci-Fi
231,Batman Returns (1992),Batman Returns,1992,Action|Adventure|Comedy|Crime
232,Young Guns (1988),Young Guns,1988,Action|Comedy|Western
233,Under Siege (1992),Under Siege,1992,Action
234,Jaws (1975),Jaws,1975,Action|Horror
235,Mars Attacks! (1996),Mars Attacks!,1996,Action|Comedy|Sci-Fi|War
236,Citizen Ruth (1996),Citizen Ruth,1996,Comedy|Drama
237,Jerry Maguire (1996),Jerry Maguire,1996,Drama|Romance
238,Raising Arizona (1987),Raising Arizona,1987,Comedy
239,Sneakers (1992),Sneakers,1992,Crime|Drama|Sci-Fi
240,Beavis and Butt-head Do America (1996),Beavis and Butt-head Do America,1996,Animation|Comedy
241,"Last of the Mohicans, The (1992)","Last of the Mohicans, The",1992,Action|Romance|War
242,Kolya (1996),Kolya,1996,Comedy
243,Jungle2Jungle (1997),Jungle2Jungle,1997,Children|Comedy
244,Smilla's Sense of Snow (1997),Smilla's Sense of Snow,1997,Action|Drama|Thriller
245,"Devil's Own, The (1997)","Devil's Own, The",1997,Action|Drama|Thriller|War
246,Chasing Amy (1997),Chasing Amy,1997,Drama|Romance
247,Turbo: A Power Rangers Movie (1997),Turbo: A Power Rangers Movie,1997,Action|Adventure|Children
248,Grosse Pointe Blank (1997),Grosse Pointe Blank,1997,Comedy|Crime
249,Austin Powers: International Man of Mystery (1997),Austin Powers: International Man of Mystery,1997,Comedy
250,"Fifth Element, The (1997)","Fifth Element, The",1997,Action|Sci-Fi
251,Shall We Dance? (1996),Shall We Dance?,1996,Comedy
252,"Lost World: Jurassic Park, The (1997)","Lost World: Jurassic Park, The",1997,Action|Adventure|Sci-Fi|Thriller
253,"Pillow Book, The (1995)","Pillow Book, The",1995,Drama|Romance
254,Batman & Robin (1997),Batman & Robin,1997,Action|Adventure|Crime
255,My Best Friend's Wedding (1997),My Best Friend's Wedding,1997,Comedy|Romance
256,When the Cats Away (Chacun cherche son chat) (1996),When the Cats Away (Chacun cherche son chat),1996,Comedy|Romance
257,Men in Black (1997),Men in Black,1997,Action|Adventure|Comedy|Sci-Fi
258,Contact (1997),Contact,1997,Drama|Sci-Fi
259,George of the Jungle (1997),George of the Jungle,1997,Children|Comedy
260,Event Horizon (1997),Event Horizon,1997,Action|Mystery|Sci-Fi|Thriller
261,Air Bud (1997),Air Bud,1997,Children|Comedy
262,In the Company of Men (1997),In the Company of Men,1997,Drama
263,Steel (1997),Steel,1997,Action
264,Mimic (1997),Mimic,1997,Sci-Fi|Thriller
265,"Hunt for Red October, The (1990)","Hunt for Red October, The",1990,Action|Thriller
266,Kull the Conqueror (1997),Kull the Conqueror,1997,Action|Adventure
267,unknown,unknown,,unknown
268,Chasing Amy (1997),Chasing Amy,1997,Drama|Romance
269,"Full Monty, The (1997)","Full Monty, The",1997,Comedy
270,Gattaca (1997),Gattaca,1997,Drama|Sci-Fi|Thriller
271,Starship Troopers (1997),Starship Troopers,1997,Action|Adventure|Sci-Fi|War
272,Good Will Hunting (1997),Good Will Hunting,1997,Drama
273,Heat (1995),Heat,1995,Action|Crime|Thriller
274,Sabrina (1995),Sabrina,1995,Comedy|Romance
275,Sense and Sensibility (1995),Sense and Sensibility,1995,Drama|Romance
276,Leaving Las Vegas (1995),Leaving Las Vegas,1995,Drama|Romance
277,Restoration (1995),Restoration,1995,Drama
278,Bed of Roses (1996),Bed of Roses,1996,Drama|Romance
279,Once Upon a Time... When We Were Colored (1995),Once Upon a Time... When We Were Colored,1995,Drama
280,Up Close and Personal (1996),Up Close and Personal,1996,Drama|Romance
281,"River Wild, The (1994)","River Wild, The",1994,Action|Thriller
282,"Time to Kill, A (1996)","Time to Kill, A",1996,Drama
283,Emma (1996),Emma,1996,Drama|Romance
284,Tin Cup (1996),Tin Cup,1996,Comedy|Romance
285,Secrets & Lies (1996),Secrets & Lies,1996,Drama
286,"English Patient, The (1996)","English Patient, The",1996,Drama|Romance|War
287,Marvin's Room (1996),Marvin's Room,1996,Drama
288,Scream (1996),Scream,1996,Horror|Thriller
289,Evita (1996),Evita,1996,Drama|Musical
290,Fierce Creatures (1997),Fierce Creatures,1997,Comedy
291,Absolute Power (1997),Absolute Power,1997,Mystery|Thriller
292,Rosewood (1997),Rosewood,1997,Drama
293,Donnie Brasco (1997),Donnie Brasco,1997,Crime|Drama
294,Liar Liar (1997),Liar Liar,1997,Comedy
295,Breakdown (1997),Breakdown,1997,Action|Thriller
296,"Promesse, La (1996)","Promesse, La",1996,Drama
297,Ulee's Gold (1997),Ulee's Gold,1997,Drama
298,Face/Off (1997),Face/Off,1997,Action|Sci-Fi|Thriller
299,Hoodlum (1997),Hoodlum,1997,Crime|Drama|Film-Noir
300,Air Force One (1997),Air Force One,1997,Action|Thriller
301,In & Out (1997),In & Out,1997,Comedy
302,L.A. Confidential (1997),L.A. Confidential,1997,Crime|Film-Noir|Mystery|Thriller
303,Ulee's Gold (1997),Ulee's Gold,1997,Drama
304,Fly Away Home (1996),Fly Away Home,1996,Adventure|Children
305,"Ice Storm, The (1997)","Ice Storm, The",1997,Drama
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)","Mrs. Brown (Her Majesty, Mrs. Brown)",1997,Drama|Romance
307,"Devil's Advocate, The (1997)","Devil's Advocate, The",1997,Crime|Horror|Mystery|Thriller
308,FairyTale: A True Story (1997),FairyTale: A True Story,1997,Children|Drama|Fantasy
309,Deceiver (1997),Deceiver,1997,Crime
310,"Rainmaker, The (1997)","Rainmaker, The",1997,Drama
311,"Wings of the Dove, The (1997)","Wings of the Dove, The",1997,Drama|Romance|Thriller
312,Midnight in the Garden of Good and Evil (1997),Midnight in the Garden of Good and Evil,1997,Comedy|Crime|Drama|Mystery
313,Titanic (1997),Titanic,1997,Action|Drama|Romance
314,3 Ninjas: High Noon At Mega Mountain (1998),3 Ninjas: High Noon At Mega Mountain,1998,Action|Children
315,Apt Pupil (1998),Apt Pupil,1998,Drama|Thriller
316,As Good As It Gets (1997),As Good As It Gets,1997,Comedy|Drama
317,In the Name of the Father (1993),In the Name of the Father,1993,Drama
318,Schindler's List (1993),Schindler's List,1993,Drama|War
319,Everyone Says I Love You (1996),Everyone Says I Love You,1996,Comedy|Musical|Romance
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Paradise Lost: The Child Murders at Robin Hood Hills,1996,Documentary
321,Mother (1996),Mother,1996,Comedy
322,Murder at 1600 (1997),Murder at 1600,1997,Mystery|Thriller
323,Dante's Peak (1997),Dante's Peak,1997,Action|Thriller
324,Lost Highway (1997),Lost Highway,1997,Mystery
325,Crash (1996),Crash,1996,Drama|Thriller
326,G.I. Jane (1997),G.I. Jane,1997,Action|Drama|War
327,Cop Land (1997),Cop Land,1997,Crime|Drama|Mystery
328,Conspiracy Theory (1997),Conspiracy Theory,1997,Action|Mystery|Romance|Thriller
329,Desperate Measures (1998),Desperate Measures,1998,Crime|Drama|Thriller
330,187 (1997),187,1997,Drama
331,"Edge, The (1997)","Edge, The",1997,Adventure|Thriller
332,Kiss the Girls (1997),Kiss the Girls,1997,Crime|Drama|Thriller
333,"Game, The (1997)","Game, The",1997,Mystery|Thriller
334,U Turn (1997),U Turn,1997,Action|Crime|Mystery
335,How to Be a Player (1997),How to Be a Player,1997,Comedy
336,Playing God (1997),Playing God,1997,Crime|Thriller
337,"House of Yes, The (1997)","House of Yes, The",1997,Comedy|Drama|Thriller
338,Bean (1997),Bean,1997,Comedy
339,Mad City (1997),Mad City,1997,Action|Drama
340,Boogie Nights (1997),Boogie Nights,1997,Drama
341,Critical Care (1997),Critical Care,1997,Comedy
342,"Man Who Knew Too Little, The (1997)","Man Who Knew Too Little, The",1997,Comedy|Mystery
343,Alien: Resurrection (1997),Alien: Resurrection,1997,Action|Horror|Sci-Fi
344,"Apostle, The (1997)","Apostle, The",1997,Drama
345,Deconstructing Harry (1997),Deconstructing Harry,1997,Comedy|Drama
346,Jackie Brown (1997),Jackie Brown,1997,Crime|Drama
347,Wag the Dog (1997),Wag the Dog,1997,Comedy|Drama
348,Desperate Measures (1998),Desperate Measures,1998,Crime|Drama|Thriller
349,Hard Rain (1998),Hard Rain,1998,Action|Thriller
350,Fallen (1998),Fallen,1998,Action|Mystery|Thriller
351,"Prophecy II, The (1998)","Prophecy II, The",1998,Horror
352,Spice World (1997),Spice World,1997,Comedy|Musical
353,Deep Rising (1998),Deep Rising,1998,Action|Horror|Sci-Fi
354,"Wedding Singer, The (1998)","Wedding Singer, The",1998,Comedy|Romance
355,Sphere (1998),Sphere,1998,Adventure|Sci-Fi|Thriller
356,"Client, The (1994)","Client, The",1994,Drama|Mystery|Thriller
357,One Flew Over the Cuckoo's Nest (1975),One Flew Over the Cuckoo's Nest,1975,Drama
358,Spawn (1997),Spawn,1997,Action|Adventure|Sci-Fi|Thriller
359,"Assignment, The (1997)","Assignment, The",1997,Thriller
360,Wonderland (1997),Wonderland,1997,Documentary
361,Incognito (1997),Incognito,1997,Crime|Thriller
362,Blues Brothers 2000 (1998),Blues Brothers 2000,1998,Action|Comedy|Musical
363,Sudden Death (1995),Sudden Death,1995,Action
364,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995,Comedy
365,Powder (1995),Powder,1995,Drama
366,Dangerous Minds (1995),Dangerous Minds,1995,Drama
367,Clueless (1995),Clueless,1995,Comedy
368,Bio-Dome (1996),Bio-Dome,1996,Comedy
369,Black Sheep (1996),Black Sheep,1996,Comedy
370,Mary Reilly (1996),Mary Reilly,1996,Drama|Thriller
371,"Bridges of Madison County, The (1995)","Bridges of Madison County, The",1995,Drama|Romance
372,Jeffrey (1995),Jeffrey,1995,Comedy
373,Judge Dredd (1995),Judge Dredd,1995,Action|Adventure|Sci-Fi
374,Mighty Morphin Power Rangers: The Movie (1995),Mighty Morphin Power Rangers: The Movie,1995,Action|Children
375,Showgirls (1995),Showgirls,1995,Drama
376,Houseguest (1994),Houseguest,1994,Comedy
377,Heavyweights (1994),Heavyweights,1994,Children|Comedy
378,Miracle on 34th Street (1994),Miracle on 34th Street,1994,Drama
379,Tales From the Crypt Presents: Demon Knight (1995),Tales From the Crypt Presents: Demon Knight,1995,Horror
380,Star Trek: Generations (1994),Star Trek: Generations,1994,Action|Adventure|Sci-Fi
381,Muriel's Wedding (1994),Muriel's Wedding,1994,Comedy|Romance
382,"Adventures of Priscilla, Queen of the Desert, The (1994)","Adventures of Priscilla, Queen of the Desert, The",1994,Comedy|Drama
383,"Flintstones, The (1994)","Flintstones, The",1994,Children|Comedy
384,Naked Gun 33 1/3: The Final Insult (1994),Naked Gun 33 1/3: The Final Insult,1994,Comedy
385,True Lies (1994),True Lies,1994,Action|Adventure|Comedy|Romance
386,Addams Family Values (1993),Addams Family Values,1993,Comedy
